date,USA,France,UK,Germany,Italy,Canada,Turkey,Spain,Other
1976,359.713,53.793,48.195,63.07731689,21.797,13.449,10.273,0,40.928
1977,374.591,56.728,46.093,62.80670717,23.324,13.957,9.891,0,42.909
1978,376.673,59.944,47.558,65.47727748,24.333,14.528,9.057,0,43.741
1979,378.917,61.34,49.044,66.39134618,25.894,14.3,8.036,0,44.632
1980,377.26,62.559,52.297,67.28201597,25.233,14.728,8.329,0,43.57
1981,420.423,64.116,51.228,68.07267849,26.536,14.694,9.397,0,45.318
1982,497.983,65.342,55.85,67.19421022,29.606,15.687,10.273,0,46.574
1983,482.484,66.555,58.335,67.77751321,30.253,17.261,9.72,0,44.291
1984,501.126,66.16,61.228,67.09577216,31.146,18.546,9.449,14.729,41.885
1985,539.726,66.083,61.803,67.23911283,30.835,19.264,10.025,15.354,43.83
1986,576.961,68.025,61.039,69.02280101,32.925,19.664,11.264,14.958,43.171
1987,570.108,70.018,60.374,70.25820499,35.824,20.07,10.757,16.943,44.223
1988,557.4921726,69.94916621,58.21476271,69.69530253,38.03764678,20.71581719,9.396156997,15.82383658,67.31935345
1989,551.7662799,70.80660575,58.72733535,69.50474528,38.3378326,20.611049,10.87186799,16.37877024,69.80982785
1990,527.0970699,70.49340122,58.8109916,73.24887391,36.87466804,20.59167172,13.13698603,15.3383167,62.95602957
1991,462.9405781,70.95248236,59.49031224,67.78780537,37.39447143,19.01744202,13.50442608,14.86113685,57.62556871
1992,489.1661403,68.72016126,55.56569413,64.46997443,36.31975919,18.8074274,14.20454353,13.7436356,57.84274264
1993,463.4569512,67.95885656,53.02754288,57.95727157,36.51344649,18.76015941,15.70491703,14.94288967,58.96298626
1994,437.1445533,68.30841665,51.56861378,54.05116941,35.61074661,18.48764195,15.35445364,13.45506016,59.37186808
1995,411.6305562,64.92692725,48.36813248,53.16173245,32.52333492,17.42498313,15.77393092,13.94042696,59.19543376
1996,389.2401262,63.3689408,48.07900852,52.12418771,35.84797994,16.00149445,17.66017358,13.61961518,59.19226119
1997,387.2265511,63.58654274,46.56442287,50.22931882,37.58857192,14.74561421,18.39923765,13.74327001,60.19757542
1998,378.4828879,61.93081401,46.82313961,50.39060165,38.82904819,15.25549509,19.27935011,13.50801611,60.41557805
1999,379.4142742,62.45412172,46.76549495,51.41730336,40.35103201,15.9140709,21.28728235,13.86096597,61.18533494
2000,394.0968163,61.73345219,47.98848319,50.59061938,43.05014972,15.65340999,20.60133042,14.35741844,60.54991553
2001,397.2975328,61.545875,49.93032958,49.75911287,42.3420853,16.06840234,18.88567325,14.54077707,61.69067825
2002,446.089226,62.8144069,53.16488848,49.89446435,43.50119715,16.14992326,20.09432123,14.88961576,63.11296447
2003,507.7232105,64.70247288,56.98807098,49.21260712,43.85330351,16.44726169,18.13601963,14.74746917,62.20038147
2004,553.3777405,66.47361965,57.6523851,47.70497163,43.99329521,17.06977225,16.55115288,15.22249834,63.54357771
2005,579.7677202,65.11766294,58.13450486,46.96291252,42.31950406,17.82050506,15.66854535,15.33204424,65.08034309
2006,588.7713646,65.41217137,58.50937912,45.878548,40.9568982,18.64879151,16.51158628,17.92376226,66.64378507
2007,604.2292032,65.66330929,60.36100647,45.91858665,39.68652329,20.33201634,15.92483481,18.51839364,68.5808916
2008,648.9320353,65.00578678,63.05509206,47.23803326,41.13917505,21.91131444,16.14207648,18.5755974,69.02415139
2009,700.9835312,69.3920557,64.28015958,49.02322848,39.98447909,22.91205645,17.27588908,17.81113821,69.32274819
2010,720.2204365,66.2200839,62.92750519,49.55792561,38.857,20.69436965,16.95586853,15.96901242,65.1910095
2011,711.338,64.60090444,60.27045155,48.14033098,38.13,20.48344752,17.13001703,13.98335516,61.90880575
2012,670.8968808,63.70806894,57.70217144,49.28840341,35.419,20.26696511,17.53784484,14.69299001,59.91851221
2013,617.6866297,63.54785382,55.26432168,48.19928045,34.022,18.75207963,17.89753235,12.70521437,58.89010936
2014,577.5107765,63.02161953,54.91418586,46.58973936,31.02,18.44581629,17.96412234,12.84447873,58.3738749
